"GEOID","NAME","Particulate.Matter"
"36005023302","233.02",7.30000019073472
"36005006500","65",6.92641079742662
"36005020200","202",7.79233573339828
"36005015700","157",7.3984916958513
"36005005200","52",7.40005578602235
"36005022703","227.03",7.22624331378862
"36005022901","229.01",7.29533608316817
"36005023000","230",7.62433746264823
"36005023200","232",7.60198164907607
"36005023502","235.02",7.37077118776616
"36005023600","236",7.59999990463243
"36005023900","239",7.40092678325129
"36005024000","240",7.56717328213753
"36005024300","243",7.86222576658297
"36005024600","246",7.67682025042211
"36005025000","250",7.69999980926513
"36005024700","247",8.12016484210526
"36005024800","248",7.69999980926514
"36005024900","249",7.99529514713958
"36005025300","253",7.40000009536817
"36005025400","254",7.69999980926502
"36005025500","255",7.54599692642164
"36005025600","256",7.69999980926506
"36005026602","266.02",7.98817626850606
"36005025700","257",7.92620811620851
"36005026100","261",7.40000009536814
"36005026400","264",7.94618781949196
"36005026500","265",7.44242782585481
"36005026601","266.01",7.90000009536715
"36005026900","269",7.61128346401471
"36005027300","273",7.59760901645175
"36005027600","276",8.30874537666694
"36005027700","277",7.57504947564373
"36005028900","289",7.5703287822352
"36005027900","279",7.58238256021158
"36005028300","283",7.5651671889542
"36005028400","284",7.79166766102041
"36005028500","285",7.51208683116211
"36005029500","295",7.60486234429215
"36005031900","319",8.22534768207575
"36005029600","296",7.71013662811491
"36005030000","300",7.90945374430157
"36005030100","301",8.10623901804867
"36005030200","302",8.24524197000945
"36005030701","307.01",7.86159285388614
"36005031000","310",7.80323638245218
"36005031800","318",7.69999980926514
"36005032300","323",8.14881339941294
"36005032400","324",7.69999980926514
"36005038600","386",7.65101022647035
"36005033400","334",7.64139514233818
"36005033600","336",7.69999980926512
"36005033800","338",7.69999980926514
"36005034000","340",7.69999980926514
"36005034200","342",7.69999980926514
"36005034300","343",7.50124161332013
"36005034400","344",7.69999980926514
"36005037800","378",7.65505393247772
"36005037900","379",7.37373472779385
"36005038000","380",7.69697280543515
"36005038100","381",7.37815521268199
"36005038500","385",7.40398854537988
"36005038700","387",7.47965157400749
"36005038900","389",7.5
"36005039100","391",7.49999457895877
"36005039200","392",7.59999990463243
"36005039902","399.02",7.46493483503649
"36005039300","393",7.5
"36005039400","394",7.59999990463243
"36005039700","397",7.57432448606421
"36005040100","401",7.49474098640663
"36005040600","406",7.5032513823447
"36005040701","407.01",7.59327439934774
"36005040702","407.02",7.62631598695262
"36005034500","345",7.60988169962637
"36005035000","350",7.69999980926514
"36005040502","405.02",7.57438145107443
"36005018102","181.02",7.09784160194908
"36005020502","205.02",8.2536922004721
"36005022101","221.01",7.09869153514825
"36005024501","245.01",8.00000000000128
"36005027401","274.01",8.08376747309082
"36005029302","293.02",8.07027258661124
"36005038301","383.01",7.40000009536748
"36005040501","405.01",7.52418077457798
"36005032600","326",7.69999980926514
"36005018500","185",7.00393814178522
"36005005002","50.02",7.48365764790507
"36005012901","129.01",7.13578740089444
"36005015200","152",7.90411800583159
"36005014702","147.02",7.19999980926507
"36005017701","177.01",7.11556318535038
"36005017702","177.02",7.15678293217944
"36005017902","179.02",7.0999999046325
"36005018101","181.01",7.09095512786295
"36005018302","183.02",6.9900425006177
"36005020501","205.01",7.14998692365386
"36005021001","210.01",7.66874551841121
"36005021002","210.02",7.69735364358097
"36005022403","224.03",7.69999980926514
"36005024502","245.02",8.00000000000128
"36005026701","267.01",7.44593808734833
"36005027402","274.02",8.63676282901868
"36005029301","293.01",8.97888009158201
"36005030900","309",8.42025572221277
"36005033202","332.02",7.69999980926511
"36005038302","383.02",7.40966264052132
"36005020000","200",7.70789873308433
"36005033500","335",7.61317378579747
"36005039500","395",7.32963198434713
"36005033700","337",8.06491049859887
"36005034800","348",7.69999980926514
"36005036000","360",7.71397216818143
"36005004200","42",7.63276354455952
"36005043400","434",7.4648037918752
"36005044400","444",7.46211824748335
"36005001900","19",8.27290070892898
"36005005100","51",6.93638062044462
