"GEOID","NAME","Particulate.Matter"
"13021013101","131.01",8.10654573902619
"13021013201","132.01",8.55907622194014
"13021011702","117.02",7.78547534376748
"13021012000","120",8.53274791667308
"13021013407","134.07",8.26667048510977
"13021013900","139",8.1341959033906
"13021013408","134.08",8.02914812456401
"13021013605","136.05",7.95236730629657
"13021013606","136.06",7.91881476392688
"13021013700","137",9.27515592697564
"13021013800","138",8.77274647877536
"13021013202","132.02",8.64213002303232
"13021010800","108",9.26747515363905
"13021011000","110",8.10856392648934
"13021011500","115",9.28911254006873
"13021011800","118",8.4871546679005
"13021011900","119",8.99598046602675
"13021012200","122",8.18780416537383
"13021012300","123",9.15066525740821
"13021010200","102",9.26567163976992
"13021010500","105",9.25155136021116
"13021011701","117.01",7.90003293684464
"13021010100","101",9.35237147073554
"13021013502","135.02",8.08894328839609
"13021012400","124",8.45915730350383
"13021010300","103",9.31869202037018
"13021012500","125",9.18881704932661
"13021012700","127",9.32659538623742
"13021012800","128",9.14550529040393
"13021012900","129",9.20946792662834
"13021013102","131.02",8.15005503732961
"13021011100","111",8.37942003972353
"13021013302","133.02",7.66763931559543
"13021010400","104",9.37746531955711
"13021012600","126",9.03834272580977
"13021013504","135.04",8.03084057167718
"13021013410","134.10",7.93100311771968
"13021012102","121.02",8.38617820492931
"13021012101","121.01",8.05684741591179
"13021013503","135.03",8.06286137674381
"13021013409","134.09",7.99571039623428
"13021013604","136.04",7.84773819950039
"13021013603","136.03",8.00486419554668
"13021013411","134.11",8.11109614465332
