"GEOID","NAME","Particulate.Matter"
"39081001000","10",8.97415673621775
"39081012100","121",7.78821053597415
"39081012000","120",7.90274981082002
"39081011100","111",7.75052233528451
"39081000200","2",10.8147171521068
"39081011800","118",10.2785707862854
"39081011500","115",7.89158279485814
"39081012300","123",9.60428921832055
"39081011700","117",8.73833743384393
"39081011402","114.02",8.77198879505962
"39081011000","110",8.15860163921322
"39081001700","17",10.296131929143
"39081001200","12",8.70194844740092
"39081001300","13",9.39326174300929
"39081000600","6",9.68195132197931
"39081000800","8",10.6971421258995
"39081011200","112",10.3211277074135
"39081011401","114.01",8.74707892992995
"39081011300","113",10.2827475776275
"39081012200","122",8.29309455731976
"39081001400","14",9.87335633122965
"39081011900","119",8.82834899967525
"39081000400","4",10.6662539892827
